UniqueID,wave2.dum,wave3.dum,mg.asp_w2,mg.asp_w3,mg.pln_w1,mg.pln_w2,mg.pln_w3,treat.dum,Region,nonmissing2,nonmissing3,wt2,wt3,bus.location,bus.open,bus.purchases,bus.hire,bus.profit,bus.close,self.suff_w2,efficacy_w2,placeat_w2,self.suff_w3,efficacy_w3,placeat_w3,age,educ,male,bs.exp.now,bs.exp.past,Score,job_w1,top.dest.d_w1,top.dest.d_w2,top.dest.d_w3,nt.mg.afr,nt.mg.good.afr,nt.mg.cnt.afr,nt.mg.out,nt.mg.good.out,nt.mg.cnt.out,gvt.rg.cmpl_w2,gvt.rg.cmpl_w3,bs.supp_w2,bs.supp_w3,nt.bs,nt.bs.cnt,occup,bribes.common_w2,bribes.common_w3,gvt.rg.unpred_w2,gvt.rg.unpred_w3,mg.ab.work_w2,mg.ab.work_w3,mg.ab.tourist_w2,mg.ab.tourist_w3,mg.ab.bw_w2,mg.ab.bw_w3,cvd.rch.econ_w2,cvd.rch.econ_w3,lost.job.dum,lost.job,bw.risk_w2,bw.risk_w3,mg.ab_w2,mg.ab_w3,rsktkr
126,1,1,4,4,2,3,2,0,West Coast Region,TRUE,TRUE,1.0785591216527934,1.3431350518905714,1,0,1,0,0,1,3.71428571428571,3.66666666666667,3,4,3.66666666666667,4,25,2,1,0,1,60,1,1,0,1,2,2,0,1,1,NA,5,5,5,5,3,2,None,4,4,5,5,3,1,2,3,2,4,1,4,0,2,1,1,4,2,1
127,1,1,4,5,2,2,2,0,Greater Banjul Area,TRUE,TRUE,1.054584604675146,1.265729389226772,0,0,0,0,0,0,3.71428571428571,3.33333333333333,1,4,3.33333333333333,4,23,2,0,0,0,60,0,1,1,0,2,0,0,20,15,2,2,2,2,2,4,0,Student,2,4,4,4,3,3,2,2,1,2,2,1,0,0,6,7,4,4,0
128,1,1,3,3,1,1,2,1,Upper River Region,TRUE,TRUE,1.1438834309656538,1.6159432577507447,1,1,1,0,1,0,4,3.33333333333333,4,4.42857142857143,3.33333333333333,2,25,2,1,0,0,60,0,1,1,1,3,NA,NA,NA,NA,NA,2,4,4,4,1,2,Retail/Shop,3,4,2,4,1,4,2,3,1,2,2,4,1,1,5,5,2,2,10
129,1,1,4,5,2,2,2,1,Greater Banjul Area,FALSE,FALSE,NA,NA,1,0,1,0,1,0,4.85714285714286,3.33333333333333,1,4,3.33333333333333,2,32,NA,1,0,0,53,0,1,1,1,NA,NA,NA,8,8,8,4,4,3,2,15,8,"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist, tailor, or skilled manufacturing worker, designer)",5,4,4,4,3,3,3,3,1,2,4,1,1,1,10,10,3,3,10
130,0,0,NA,NA,3,NA,NA,0,Greater Banjul Area,FALSE,FALSE,1.0885529850552202,1.3262826289017247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,2,1,0,1,60,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,1,NA,NA,NA,NA,10
131,0,0,NA,NA,2,NA,NA,0,Greater Banjul Area,FALSE,FALSE,1.0460090971857585,1.2503203331652444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,3,1,1,0,47,1,1,NA,NA,NA,NA,NA,50,30,NA,NA,NA,NA,NA,10,0,Student,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,10
132,1,1,4,2,2,2,1,1,Greater Banjul Area,TRUE,TRUE,1.0472323307482696,1.228856973866823,1,1,1,0,0,0,3.42857142857143,3.66666666666667,2,3.57142857142857,2.66666666666667,1,24,3,1,0,0,53,0,1,1,1,1,5,2,30,18,5,4,4,1,2,5,4,None,2,2,4,4,4,3,1,0,1,1,3,4,1,1,5,4,1,2,10
133,1,0,4,NA,1,NA,NA,1,Greater Banjul Area,TRUE,FALSE,1.0907559158495466,1.3354397404994214,NA,NA,NA,NA,NA,NA,3.42857142857143,4,2,NA,NA,NA,30,2,1,1,0,60,0,1,1,NA,1,NA,NA,4,4,NA,4,NA,4,NA,10,2,Agriculture/farming/fishing/forestry,4,NA,5,NA,3,NA,3,NA,2,NA,4,NA,1,1,NA,NA,2,NA,0
134,0,0,NA,NA,1,NA,NA,1,Lower River Region,FALSE,FALSE,1.1475088973187384,1.6211535334138396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,2,1,0,0,47,0,1,NA,NA,NA,NA,NA,50,45,5,NA,NA,NA,NA,2,4,Student,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,0,0,NA,NA,NA,NA,10
135,1,1,4,3,3,1,1,0,West Coast Region,TRUE,TRUE,1.045473109904065,1.1792718566913514,0,1,0,0,1,1,4.16666666666667,4.66666666666667,1,5,3.66666666666667,2,22,2,1,0,0,47,0,1,1,1,8,5,6,12,8,1,5,4,2,2,5,4,Student,5,4,5,4,3,4,3,2,1,1,4,4,0,0,5,5,1,2,10
136,1,1,5,5,3,3,2,0,Greater Banjul Area,TRUE,TRUE,1.0512922921453856,1.250533876531572,1,0,0,0,0,0,3.71428571428571,3.33333333333333,1,3.14285714285714,4,1,31,2,1,0,1,60,1,1,1,1,5,3,NA,10,5,NA,2,4,4,3,5,0,Student,4,4,4,2,4,2,2,2,1,2,2,4,0,2,6,10,2,2,10
137,1,1,2,4,1,1,1,1,Greater Banjul Area,TRUE,TRUE,1.3300847653311654,2.0299602384847755,1,1,0,1,1,1,4,3.33333333333333,1,3.71428571428571,3,1,28,2,1,0,1,53,0,1,1,1,1,NA,NA,6,NA,NA,3,4,4,4,2,2,"Manual worker (e.g., cleaner, laborer, domestic help, manufacturing worker)",4,4,4,4,3,3,3,3,1,1,4,4,1,1,7,5,2,3,10
138,1,1,2,1,1,1,1,1,Greater Banjul Area,TRUE,TRUE,1.0819852965822376,1.3272234000321808,0,NA,1,0,0,0,4.14285714285714,3.33333333333333,4,3.71428571428571,2.66666666666667,5,27,2,1,0,0,47,0,0,0,0,1,NA,NA,10,2,NA,5,4,2,2,4,3,Student,1,4,5,4,2,1,2,3,1,1,4,4,0,0,10,8,1,1,10
139,1,1,5,3,1,1,2,0,West Coast Region,TRUE,TRUE,1.1094946455148262,1.5699090755913938,0,0,0,0,0,0,3.14285714285714,3.66666666666667,3,4,3.66666666666667,3,23,3,0,0,1,53,0,1,0,1,5,5,3,3,3,NA,4,5,2,1,10,2,Student,4,4,4,4,1,1,1,1,1,1,NA,4,0,0,5,10,1,2,10
140,1,1,5,5,1,1,3,0,Lower River Region,TRUE,TRUE,1.0724571603682493,1.456092521149979,1,0,0,0,0,0,3.28571428571429,2.66666666666667,2,3.42857142857143,2.66666666666667,2,27,2,1,0,0,60,1,1,1,1,5,0,1,20,15,3,4,4,2,2,10,8,"Mid-level professional (e.g., teacher, nurse, mid-level government officer)",4,2,4,4,4,3,3,0,2,2,2,4,0,2,8,6,3,2,7
141,1,1,5,4,3,3,3,0,Lower River Region,TRUE,TRUE,1.0712246755888712,1.290486586557271,1,0,1,1,0,1,2.71428571428571,2,4,2,4.33333333333333,2,33,2,1,0,1,80,1,1,1,1,3,0,0,5,3,2,5,5,1,1,3,5,NA,5,1,5,1,1,2,1,3,1,1,1,3,0,2,5,5,2,1,10
142,1,1,3,3,1,3,2,0,Upper River Region,TRUE,TRUE,1.1936235364121843,1.7080832282709608,1,0,0,1,1,0,4.14285714285714,4,3,3.71428571428571,3.66666666666667,2,31,2,1,1,0,67,1,1,1,1,3,2,0,10,10,3,3,4,2,3,5,1,"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist, tailor, or skilled manufacturing worker, designer)",4,4,3,4,2,2,3,2,3,4,4,1,0,2,4,5,3,1,8
143,1,1,2,3,3,1,3,1,West Coast Region,TRUE,TRUE,1.1135381531173858,1.3618585198625945,0,1,0,1,1,0,4.14285714285714,3,4,4,4,3,25,3,1,1,0,60,1,1,0,0,1,1,1,15,15,7,2,2,1,2,1,1,"Mid-level professional (e.g., teacher, nurse, mid-level government officer)",3,3,1,5,3,3,5,3,1,1,2,3,0,2,10,10,3,2,10
