UniqueID,mg.asp,mg.pln,treat.dum,post.dum,Region,wave,wave.comp,nonmissing2,nonmissing3,wt2,wt3,educ,age,male,bs.exp.now,bs.exp.past,Score,lost.job,job_w1,gvt.rg.cmpl,bs.supp
1287,2,1,0,1,Greater Banjul Area,3,1,TRUE,TRUE,1.0385593048827817,1.149591701451617,2,26,1,1,0,53,1,0,4,2
1288,4,1,0,0,West Coast Region,1,1,TRUE,TRUE,1.0668692482201392,1.2724252858663814,3,22,0,0,0,53,0,0,4,2
1288,4,1,0,1,West Coast Region,2,1,TRUE,TRUE,1.0668692482201392,1.2724252858663814,3,22,0,0,0,53,0,0,4,2
1288,2,1,0,1,West Coast Region,3,1,TRUE,TRUE,1.0668692482201392,1.2724252858663814,3,22,0,0,0,53,0,0,4,2
1290,4,1,1,0,Greater Banjul Area,1,1,TRUE,TRUE,1.0766608810442448,1.4093060572926086,2,32,1,0,1,53,1,0,2,2
1290,3,2,1,1,Greater Banjul Area,2,1,TRUE,TRUE,1.0766608810442448,1.4093060572926086,2,32,1,0,1,53,1,0,4,4
1290,4,1,1,1,Greater Banjul Area,3,1,TRUE,TRUE,1.0766608810442448,1.4093060572926086,2,32,1,0,1,53,1,0,4,4
1291,3,1,1,0,Greater Banjul Area,1,1,FALSE,FALSE,1.2395242399050967,1.5581737514032048,3,30,1,1,0,53,1,0,4,2
1291,NA,NA,1,1,Greater Banjul Area,2,0,FALSE,FALSE,1.2395242399050967,1.5581737514032048,3,30,1,1,0,53,1,0,NA,NA
1291,NA,NA,1,1,Greater Banjul Area,3,0,FALSE,FALSE,1.2395242399050967,1.5581737514032048,3,30,1,1,0,53,1,0,NA,NA
1292,2,1,1,0,Greater Banjul Area,1,1,TRUE,TRUE,1.088727999145579,1.3557243117796067,2,22,0,1,0,53,2,1,5,2
1292,4,1,1,1,Greater Banjul Area,2,1,TRUE,TRUE,1.088727999145579,1.3557243117796067,2,22,0,1,0,53,2,1,4,2
1292,3,1,1,1,Greater Banjul Area,3,1,TRUE,TRUE,1.088727999145579,1.3557243117796067,2,22,0,1,0,53,2,1,4,1
1294,5,1,1,0,West Coast Region,1,1,TRUE,TRUE,1.1853372863294898,1.6817564870334494,2,26,0,0,0,53,2,1,4,2
1294,3,2,1,1,West Coast Region,2,1,TRUE,TRUE,1.1853372863294898,1.6817564870334494,2,26,0,0,0,53,2,1,2,1
1294,4,2,1,1,West Coast Region,3,1,TRUE,TRUE,1.1853372863294898,1.6817564870334494,2,26,0,0,0,53,2,1,4,1
1295,5,1,0,0,West Coast Region,1,1,TRUE,TRUE,1.0836719176708673,1.4739329026782082,2,26,1,0,0,53,0,0,3,2
1295,2,1,0,1,West Coast Region,2,1,TRUE,TRUE,1.0836719176708673,1.4739329026782082,2,26,1,0,0,53,0,0,2,2
1295,4,1,0,1,West Coast Region,3,1,TRUE,TRUE,1.0836719176708673,1.4739329026782082,2,26,1,0,0,53,0,0,4,2
1297,5,1,0,0,Upper River Region,1,1,TRUE,TRUE,1.094930872486667,1.3420984218435572,2,27,0,1,0,53,2,1,3,3
1297,5,2,0,1,Upper River Region,2,1,TRUE,TRUE,1.094930872486667,1.3420984218435572,2,27,0,1,0,53,2,1,3,2
1297,5,1,0,1,Upper River Region,3,1,TRUE,TRUE,1.094930872486667,1.3420984218435572,2,27,0,1,0,53,2,1,2,2
1298,3,1,0,0,Greater Banjul Area,1,1,TRUE,TRUE,1.0541428713146832,1.2647051918358605,3,24,1,1,0,53,2,1,4,2
1298,4,3,0,1,Greater Banjul Area,2,1,TRUE,TRUE,1.0541428713146832,1.2647051918358605,3,24,1,1,0,53,2,1,3,2
1298,4,1,0,1,Greater Banjul Area,3,1,TRUE,TRUE,1.0541428713146832,1.2647051918358605,3,24,1,1,0,53,2,1,4,3
1299,4,1,0,0,Greater Banjul Area,1,1,TRUE,TRUE,1.1596404460418566,1.67525553845287,2,25,0,0,0,53,1,0,4,2
1299,4,1,0,1,Greater Banjul Area,2,1,TRUE,TRUE,1.1596404460418566,1.67525553845287,2,25,0,0,0,53,1,0,2,4
1299,4,1,0,1,Greater Banjul Area,3,1,TRUE,TRUE,1.1596404460418566,1.67525553845287,2,25,0,0,0,53,1,0,4,2
1301,4,1,0,0,Lower River Region,1,1,TRUE,TRUE,1.1997145997234584,1.7284377495337235,3,27,0,1,0,53,1,0,5,1
1301,4,1,0,1,Lower River Region,2,1,TRUE,TRUE,1.1997145997234584,1.7284377495337235,3,27,0,1,0,53,1,0,5,1
1301,2,1,0,1,Lower River Region,3,1,TRUE,TRUE,1.1997145997234584,1.7284377495337235,3,27,0,1,0,53,1,0,2,4
1302,4,1,0,0,Greater Banjul Area,1,1,FALSE,FALSE,1.0797545471257615,1.3225100780612193,3,31,1,0,0,53,1,0,4,2
1302,NA,NA,0,1,Greater Banjul Area,2,0,FALSE,FALSE,1.0797545471257615,1.3225100780612193,3,31,1,0,0,53,1,0,NA,NA
1302,NA,NA,0,1,Greater Banjul Area,3,0,FALSE,FALSE,1.0797545471257615,1.3225100780612193,3,31,1,0,0,53,1,0,NA,NA
1303,4,1,0,0,West Coast Region,1,1,TRUE,TRUE,1.09551562462124,1.52101991601318,2,31,1,1,0,53,0,0,4,2
1303,4,2,0,1,West Coast Region,2,1,TRUE,TRUE,1.09551562462124,1.52101991601318,2,31,1,1,0,53,0,0,2,2
1303,4,3,0,1,West Coast Region,3,1,TRUE,TRUE,1.09551562462124,1.52101991601318,2,31,1,1,0,53,0,0,2,3
1304,4,2,1,0,Lower River Region,1,1,TRUE,FALSE,1.0705929085538297,1.3738917345397093,2,25,1,0,1,53,2,1,4,2
1304,2,2,1,1,Lower River Region,2,1,TRUE,FALSE,1.0705929085538297,1.3738917345397093,2,25,1,0,1,53,2,1,4,2
1304,NA,NA,1,1,Lower River Region,3,0,TRUE,FALSE,1.0705929085538297,1.3738917345397093,2,25,1,0,1,53,2,1,NA,NA
1306,4,1,1,0,Greater Banjul Area,1,1,TRUE,FALSE,1.0687327970038254,1.2807683723780257,2,29,0,1,0,53,2,1,4,2
1306,2,1,1,1,Greater Banjul Area,2,1,TRUE,FALSE,1.0687327970038254,1.2807683723780257,2,29,0,1,0,53,2,1,4,4
1306,NA,NA,1,1,Greater Banjul Area,3,0,TRUE,FALSE,1.0687327970038254,1.2807683723780257,2,29,0,1,0,53,2,1,NA,NA
